fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1877,B,"154,572",FREE,1,20,0,0,250,20.0
1877,B,155,FREE,1,206,250,286,321,375.0
1877,B,156,FREE,1,206,250,286,0,375.0
1877,B,157,FREE,3,623,502,861,966,1133.0
1877,B,158,FREE,3,624,753,861,966,1137.0
1877,B,159,FREE,4,839,252,577,972,1524.0
1877,B,160,FREE,6,1260,1008,1156,1296,2272.0
1877,B,162,FREE,2,424,253,580,0,772.0
1877,B,163,FREE,9,1703,1016,1746,651,3478.0
1877,B,164,FREE,2,426,254,582,652,774.0
1877,B,166,FREE,5,1079,510,586,981,1955.0
1877,B,167,FREE,5,865,255,879,982,1941.0
1877,B,168,FREE,1,218,0,0,0,394.0
1877,B,169,FREE,9,1964,512,1473,1968,3553.0
1877,B,"17,814",FREE,1,1153,0,0,412,1153.0
1877,B,170,FREE,3,657,512,885,987,1188.0
1877,B,174,FREE,2,446,514,594,660,804.0
1877,B,176,FREE,6,1123,763,596,1325,2433.0
1877,B,177,FREE,4,450,776,596,664,1626.0
1877,B,178,FREE,4,226,0,298,332,1634.0
1877,B,2,FREE,1,20,0,0,2,20.0
1877,B,202,FREE,1,2494,0,0,202,2494.0
1877,B,250,FREE,1,10101,123100,8260,277922,18361.0
1877,B,"3,942",FREE,1,416,40,405,92,821.0
1877,B,"328,944",FREE,1,177188,0,0,1457242,177188.0
1877,B,"38,127",FREE,1,404343,11113,98392,49240,502735.0
1877,B,"38,335",FREE,1,406881,11113,98392,49448,505273.0
1877,B,39,FREE,1,139437,367,3930,19140,143367.0
1877,B,4,FREE,1,24,0,0,4,24.0
1877,B,"4,650",FREE,1,39472,0,0,328944,39472.0
1877,B,412,FREE,1,2990,40,280,536,3270.0
1877,B,496,FREE,1,204,0,0,12,204.0
1877,B,52,FREE,2,69178,9626,65967,19007,135145.0
1877,B,"9,261",FREE,1,470,0,0,52,470.0
1877,B,Africa,FREE,2,654816,97394,654816,97394,0.0
1877,B,Asia,DUTIABLE,2,0,288,0,288,50.4
1877,B,Asia Minor,DUTIABLE,1,0,55379,0,60900,10657.68
1877,B,Austria,DUTIABLE,9,103,7710,151,7581,1391.34
1877,B,Belginm,FREE,1,0,829,0,829,0.0
1877,B,Belgium,DUTIABLE,43,7175510,227248,7210845,229142,50090.58
1877,B,Belgium,FREE,8,6616,21837,6582,21841,15.69
1877,B,British East Indies,DUTIABLE,3,1992,212,0,212,36.36
1877,B,British East Indies,FREE,1,20502,1335,20502,1335,0.0
1877,B,British Guiana,DUTIABLE,20,5172447,216349,3797033,142994,131357.15
1877,B,British Guiana,FREE,4,1854,3240,1854,3567,0.0
1877,B,British W. st Indies,DUTIABLE,1,170,17,170,17,2.97
1877,B,British West Indies,DUTIABLE,49,19889207,485162,21175127,560082,223011.43
1877,B,British West Indies,FREE,21,379657,86489,398170,91123,1044.76
1877,B,China,DUTIABLE,53,620248,90133,1053744,256301,37947.61
1877,B,China,FREE,5,12971,3655,13231,3818,0.0
1877,B,Cwt,FREE,3,172819,3652,28923,25408,201702.0
1877,B,Danish West Indies,DUTIABLE,15,52564,5066,49186,4857,2004.73
1877,B,Danish West Indies,FREE,6,7658,4758,7376,4715,211.1
1877,B,Dutch West Indies,DUTIABLE,3,37485,1085,38809,1138,405.03
1877,B,Dutch West Indies,FREE,2,35479,3660,35479,3660,0.0
1877,B,France,DUTIABLE,247,1739641,1377960,1751377,1327684,473262.98
1877,B,France,FREE,48,322743,56805,322964,57266,3459.62
1877,B,French West Indies,DUTIABLE,6,90472,2226,124126,4211,1737.84
