flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1894,CHEESE,South Africa,10799,11053,"CLAY, Unmanufactured",,Cwts,52,321362,6565,0,gapx4,as_1896,CHEESE/
export_uk,as_1897,1894,"COAL, CINDERS, &c.",East Africa,11884,11978,"COAL, CINDERS, &c.",Coal and Cinders,Tons,20,124528,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",Possessions in Indian Seas,11983,12075,"COAL, CINDERS, &c.",Coal and Cinders,Tons,20,56433,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",South Africa,12079,12184,"COAL, CINDERS, &c.",Coal and Cinders,Tons,23,246013,1250,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",South Africa,12189,12370,"COAL, CINDERS, &c.","Fuel, Manufactured",Tons,36,442735,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Coal and Culm continued"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",East Africa,12732,12870,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,28,38589,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",West Africa,12875,12895,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,5,634,0,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
export_uk,as_1897,1894,"COAL, CINDERS, &c.",South Africa,12900,13040,"COAL, CINDERS, &c.","COCOA or CHOCOLATE, manufactured in the United Kingdom",Products of Coal,29,88973,9257,0,gapx2,as_1896,"COAL, CINDERS, &c./Products of Coal, Peat, or Shale, (including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, and Tar)"
export_uk,as_1897,1894,COPPER,South Africa,13650,13770,COPPER,Unenumerated,Cwts,25,348014,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1894,COPPER,West Africa,13775,13794,COPPER,Unenumerated,Cwts,5,28466,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1894,COPPER,Possessions in Indian Seas,13799,13919,COPPER,Unenumerated,Cwts,25,122989,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1894,COPPER,West Africa,13924,13942,COPPER,Unenumerated,Cwts,5,3542,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1894,COPPER,South Africa,13947,13952,COPPER,Unenumerated,Cwts,2,9182,0,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
export_uk,as_1897,1894,COPPER,East Africa,13957,14087,COPPER,Unenumerated,Cwts,26,283078,13060,0,gapx4,as_1896,"COPPER/Wrought, Mixed or Yellow   Metal"
